variant,evidence_file,baseline,unquantized,scope,transform,bits,permutation,module_count,parameter_count,weight_relative_mse_parameter_weighted,calibration_output_relative_mse_parameter_weighted,metadata_bits,adjacent_abs_cosine_before_mean,adjacent_abs_cosine_after_mean,input_adjacent_abs_cosine_before_mean,input_adjacent_abs_cosine_after_mean,output_adjacent_abs_cosine_before_mean,output_adjacent_abs_cosine_after_mean,perplexity,fp16_baseline_perplexity_same_protocol,perplexity_delta_vs_fp16,eval_input_tokens,eval_token_offset,eval_sequence_length,eval_seconds,input_tokens_per_second,calibration_tokens,calibration_samples_per_module,model,num_attention_heads,num_key_value_heads,uses_gqa,fake_quantization_only,packed_integer_kernel
qproj_input_rdft_q3_8192,runs\formal_8192\qproj_input_rdft_q3_8192.json,False,False,q_proj_input,rdft,3,none,32,536870912,0.0745737740277129,0.017629312358656106,0.0,,,,,,,6.241241259515989,6.195575096408451,0.045666163107537905,8192,0,2048,1.170101283933036,7001.103333947646,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_rdft_q3_screen,runs\screen\qproj_input_rdft_q3.json,False,False,q_proj_input,rdft,3,none,32,536870912,0.0745737740277129,0.017562770064965903,0.0,,,,,,,3.945723697731355,,,2048,0,2048,0.2959834650391713,6919.305440690621,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_spectral_dct_q3_8192,runs\formal_8192\qproj_input_spectral_dct_q3_8192.json,False,False,q_proj_input,dct,3,spectral,32,536870912,0.07454741818343821,0.01760068913700699,733349.6034136291,0.029470043431501836,0.03209758491721004,,,,,6.239052940245027,6.195575096408451,0.043477843836575936,8192,0,2048,1.2140303049236536,6747.772248169018,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_spectral_dct_q3_screen,runs\screen\qproj_input_spectral_dct_q3.json,False,False,q_proj_input,dct,3,spectral,32,536870912,0.07454741818343821,0.01754003839958307,733349.6034136291,0.029470043431501836,0.03209758491721004,,,,,3.9402364533669627,,,2048,0,2048,0.3063070869538933,6686.10060696465,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_spectral_dct_q4_8192,runs\formal_8192\qproj_input_spectral_dct_q4_8192.json,False,False,q_proj_input,dct,4,spectral,32,536870912,0.013682445088149588,0.003241661092225742,733349.6034136291,0.029470043431501836,0.03209758491721004,,,,,6.200028242687991,6.195575096408451,0.004453146279540299,8192,0,2048,1.210004071937874,6770.225150465946,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_output_head_dct_q3_8192,runs\formal_8192\qproj_output_head_dct_q3_8192.json,False,False,q_proj_output_head,dct,3,none,32,536870912,0.08235556678985118,0.018364178125586907,0.0,,,,,,,6.247485355813128,6.195575096408451,0.05191025940467675,8192,0,2048,1.7505305859958753,4679.72400227419,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_output_head_dct_q3_screen,runs\screen\qproj_output_head_dct_q3.json,False,False,q_proj_output_head,dct,3,none,32,536870912,0.08235556678985118,0.0182515484968641,0.0,,,,,,,3.9397334230831413,,,2048,0,2048,0.37471619399730116,5465.469688280274,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_output_head_dct_q4_8192,runs\formal_8192\qproj_output_head_dct_q4_8192.json,False,False,q_proj_output_head,dct,4,none,32,536870912,0.01581796979053195,0.003388536786424057,0.0,,,,,,,6.201224223381563,6.195575096408451,0.00564912697311204,8192,0,2048,1.2656108209630474,6472.763873626192,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_output_head_hadamard_q3_8192,runs\formal_8192\qproj_output_head_hadamard_q3_8192.json,False,False,q_proj_output_head,hadamard,3,none,32,536870912,0.08234423815603079,0.01836218843680829,0.0,,,,,,,6.258617482290889,6.195575096408451,0.06304238588243827,8192,0,2048,1.2130679649999365,6753.12532880252,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_output_head_hadamard_q3_screen,runs\screen\qproj_output_head_hadamard_q3.json,False,False,q_proj_output_head,hadamard,3,none,32,536870912,0.08234423815603079,0.018207439174950737,0.0,,,,,,,3.948063055261644,,,2048,0,2048,0.30407007690519094,6735.28951235332,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_output_head_identity_q3_8192,runs\formal_8192\qproj_output_head_identity_q3_8192.json,False,False,q_proj_output_head,identity,3,none,32,536870912,0.08310633011871371,0.018540004873103838,0.0,,,,,,,6.254414889530206,6.195575096408451,0.0588397931217548,8192,0,2048,1.1245212060166523,7284.878182971936,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_output_head_identity_q4_8192,runs\formal_8192\qproj_output_head_identity_q4_8192.json,False,False,q_proj_output_head,identity,4,none,32,536870912,0.01608093403838773,0.0034604007019147847,0.0,,,,,,,6.2056142958343115,6.195575096408451,0.010039199425860623,8192,0,2048,1.827440851018764,4482.771628659342,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
